id;placed_date;status;code
1;2020-10-03T09:52:24;COMPLETED;Georgia calculate withdrawal
2;2020-10-02T20:48:54;COMPLETED;compress Steel out-of-the-box
3;2020-10-02T22:20:06;PENDING;Concrete
4;2020-10-03T11:46:01;CANCELLED;Investment Account
5;2020-10-02T23:02:51;PENDING;United States of America
6;2020-10-03T13:14:55;CANCELLED;IB Industrial Credit Card Account
7;2020-10-03T16:21:20;CANCELLED;Cotton Egyptian Pound
8;2020-10-03T01:17:24;COMPLETED;Home Loan Account
9;2020-10-03T10:11:40;COMPLETED;Human
10;2020-10-02T20:20:18;CANCELLED;payment
